UNICA ATACADISTA DE TINTAS

COMPRAS POR FORNECEDOR - ANALÍTICO 17/07/2026 16:36

Gerar por data de : EMISSÃO
Data Inicial : 01/01/2026
Data Final : 30/06/2026
Número do documento de Entrada : TODOS
Espécie do documento de Entrada : TODOS
Série do documento de Entrada : TODOS
Empresa : 009-UNICA ATACADISTA DE TINTAS
Item : TODOS
Descrição do item : TODOS
Fornecedor : TODOS
Marca : TODOS
Linha / Grupo : TODOS
Departamento : TODOS
Grupo de produtos : TODOS
Grupo de compra : TODOS
Unidade : TODOS
Acordo de Objetivos : NÃO
Exibir quantidade convertida em embalagens : NÃO
Destino : CSV

DOCUMENTO;FORNECEDOR;DATA;CÓDIGO;DESCRIÇÃO DO ITEM;REFERÊNCIA;MARCA;UNID;VR. UNIT.;QUANTID.;LITR./QUILOS;TOT. PROD.;VR. IPI;VR. SUBST.;VR. FRETE;DES. ACE.;OUT.DES;VR.ICMS;DESC. ESP;VR. CONTÁBIL
"000001021702-NF-009";"00000008 - PINCEIS ATLAS S.A.";05/03/2026;"020028.20245";"ESPATULA PLASTICA CELULOIDE 13,1CM 152/2 ATLAS";"";"ATLAS";"UN";1,19;300,00;0,00;357,00;34,81;0,00;0,00;0,00;0,00;24,99;0,00;391,81
"000001021702-NF-009";"00000008 - PINCEIS ATLAS S.A.";05/03/2026;"020040.85741";"FILME MASCARAMENTO C/ FITA CREPE 45CMX20MT AT2220/45 ATLAS";"";"ATLAS";"DC";8,22;10,00;0,00;82,20;12,33;0,00;0,00;0,00;0,00;3,29;0,00;94,53
"000001021702-NF-009";"00000008 - PINCEIS ATLAS S.A.";05/03/2026;"030028.23878";"GARFO GAIOLA S/ ROSCA AÇO 400/23SR ATLAS";"";"ATLAS";"UN";5,40;300,00;0,00;1.620,00;81,00;0,00;0,00;0,00;0,00;113,40;0,00;1.701,00
"000001021702-NF-009";"00000008 - PINCEIS ATLAS S.A.";05/03/2026;"030028.85717";"KIT DE PINTURA E ACABAMENTO 5 PEÇAS AT1002 ATLAS";"";"ATLAS";"UN";21,12;12,00;0,00;253,44;0,00;0,00;0,00;0,00;0,00;17,74;0,00;253,44
"000001021702-NF-009";"00000008 - PINCEIS ATLAS S.A.";05/03/2026;"030028.87193";"REFIL PAD P/ RECORTE E ACABAMENTO EM PINTURA C/ 02 UNID. AT751/35 ATLAS";"";"ATLAS";"UN";9,85;12,00;0,00;118,20;0,00;0,00;0,00;0,00;0,00;4,73;0,00;118,20
"000001021702-NF-009";"00000008 - PINCEIS ATLAS S.A.";05/03/2026;"030028.84434";"ROLO DE LA MISTA 15CM AT228/15 ATLAS";"";"ATLAS";"UN";8,46;24,00;0,00;203,04;0,00;0,00;0,00;0,00;0,00;14,21;0,00;203,04
"000001021702-NF-009";"00000008 - PINCEIS ATLAS S.A.";05/03/2026;"030028.84435";"ROLO DE LA MISTA 23CM 228/22 ATLAS";"";"ATLAS";"UN";13,04;24,00;0,00;312,96;0,00;0,00;0,00;0,00;0,00;12,52;0,00;312,96
"000001021702-NF-009";"00000008 - PINCEIS ATLAS S.A.";05/03/2026;"030028.84427";"ROLO ESPUMA POLYESTER CINZA 15CM 406/15 ATLAS";"";"ATLAS";"UN";5,08;72,00;0,00;365,76;0,00;0,00;0,00;0,00;0,00;25,60;0,00;365,76
"000001021702-NF-009";"00000008 - PINCEIS ATLAS S.A.";05/03/2026;"030028.84425";"ROLO ESPUMA POLYESTER CINZA 5CM 406/5 ATLAS";"";"ATLAS";"UN";2,59;96,00;0,00;248,64;0,00;0,00;0,00;0,00;0,00;17,40;0,00;248,64
"000001021702-NF-009";"00000008 - PINCEIS ATLAS S.A.";05/03/2026;"030028.84426";"ROLO ESPUMA POLYESTER CINZA 9CM 406/9 ATLAS";"";"ATLAS";"UN";3,18;144,00;0,00;457,92;0,00;0,00;0,00;0,00;0,00;32,05;0,00;457,92
"000001021702-NF-009";"00000008 - PINCEIS ATLAS S.A.";05/03/2026;"030028.85228";"ROLO LA SINTETICA ANTIRESPINGO 15CM AT773/15 ATLAS";"";"ATLAS";"UN";5,78;24,00;0,00;138,72;0,00;0,00;0,00;0,00;0,00;9,71;0,00;138,72
"000001021702-NF-009";"00000008 - PINCEIS ATLAS S.A.";05/03/2026;"030028.84431";"ROLO LA SINTETICA ANTIRESPINGO 23CM 773/10 ATLAS";"";"ATLAS";"UN";6,60;12,00;0,00;79,20;0,00;0,00;0,00;0,00;0,00;5,54;0,00;79,20
"000001021702-NF-009";"00000008 - PINCEIS ATLAS S.A.";05/03/2026;"030028.85227";"ROLO LA SINTETICA ANTIRESPINGO 9CM AT773/9 ATLAS";"";"ATLAS";"UN";4,47;24,00;0,00;107,28;0,00;0,00;0,00;0,00;0,00;7,51;0,00;107,28
"000001021702-NF-009";"00000008 - PINCEIS ATLAS S.A.";05/03/2026;"030028.84424";"ROLO LA SINTETICA RESIMAX 15CM 339/15A ATLAS";"";"ATLAS";"UN";10,53;48,00;0,00;505,44;0,00;0,00;0,00;0,00;0,00;35,38;0,00;505,44
"000001021702-NF-009";"00000008 - PINCEIS ATLAS S.A.";05/03/2026;"030028.84423";"ROLO LA SINTETICA RESIMAX 23CM 339/5A ATLAS";"";"ATLAS";"UN";13,13;24,00;0,00;315,12;0,00;0,00;0,00;0,00;0,00;12,60;0,00;315,12
"000001021702-NF-009";"00000008 - PINCEIS ATLAS S.A.";05/03/2026;"030028.84421";"ROLO LA SINTETICA RESIMAX 5CM 339/55A ATLAS";"";"ATLAS";"UN";4,68;24,00;0,00;112,32;0,00;0,00;0,00;0,00;0,00;7,86;0,00;112,32
"000001021702-NF-009";"00000008 - PINCEIS ATLAS S.A.";05/03/2026;"030028.84422";"ROLO LA SINTETICA RESIMAX 9CM 339/9A ATLAS";"";"ATLAS";"UN";6,87;24,00;0,00;164,88;0,00;0,00;0,00;0,00;0,00;11,54;0,00;164,88
