Cód.Item;Descrição;Novo Código de fábrica;Novo Marca;Desc. Marca;Novo Fornecedor;Desc. Fornecedor;Novo Linha/Grupo;Desc. Linha/Grupo
85769;CR CORALAR ACRILICO MAIS BRILHO E PROTEÇÃO BRANCO LATA 18L;5202139;800073;CORAL;534;AKZO NOBEL LTDA;30001;TINTA PAREDE
85813;CR CORALAR ACRILICO MAIS DESEMPEMHO CONCRETO GL 3,6L;5202326;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85800;CR CORALAR ACRILICO MAIS DESEMPENHO AMARELO CANARIO GL 3,6L;5202312;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85801;CR CORALAR ACRILICO MAIS DESEMPENHO AMARELO CANARIO LATA 18L;5202313;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85798;CR CORALAR ACRILICO MAIS DESEMPENHO AMARELO FREVO GL 3,6L;5202310;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85799;CR CORALAR ACRILICO MAIS DESEMPENHO AMARELO FREVO LATA 18L;5202311;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85821;CR CORALAR ACRILICO MAIS DESEMPENHO AREIA GL 3,6L;5202334;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85822;CR CORALAR ACRILICO MAIS DESEMPENHO AREIA LATA 18L;5202335;800073;CORAL;534;AKZO NOBEL LTDA;30001;TINTA PAREDE
85787;CR CORALAR ACRILICO MAIS DESEMPENHO AZUL ARPOADOR GL 3,6L;5202288;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85788;CR CORALAR ACRILICO MAIS DESEMPENHO AZUL ARPOADOR LATA 18L;5202289;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86740;CR CORALAR ACRILICO MAIS DESEMPENHO BRANCO BALDE 15L;5849012;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86817;CR CORALAR ACRILICO MAIS DESEMPENHO BRANCO BALDE 20L;5885755;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86737;CR CORALAR ACRILICO MAIS DESEMPENHO BRANCO GELO BALDE 20L;5832512;800073;CORAL;534;AKZO NOBEL LTDA;30001;TINTA PAREDE
85781;CR CORALAR ACRILICO MAIS DESEMPENHO BRANCO GELO GL 3,6L;5202280;800073;CORAL;534;AKZO NOBEL LTDA;30001;TINTA PAREDE
85782;CR CORALAR ACRILICO MAIS DESEMPENHO BRANCO GELO LATA 18L;5202281;800073;CORAL;534;AKZO NOBEL LTDA;30001;TINTA PAREDE
85779;CR CORALAR ACRILICO MAIS DESEMPENHO BRANCO GL 3,6L;5202277;800073;CORAL;534;AKZO NOBEL LTDA;30001;TINTA PAREDE
85780;CR CORALAR ACRILICO MAIS DESEMPENHO BRANCO LATA 18L;5202278;800073;CORAL;534;AKZO NOBEL LTDA;30001;TINTA PAREDE
85817;CR CORALAR ACRILICO MAIS DESEMPENHO CAMURCA GL 3,6L;5202330;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85818;CR CORALAR ACRILICO MAIS DESEMPENHO CAMURCA LATA 18L;5202331;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85814;CR CORALAR ACRILICO MAIS DESEMPENHO CONCRETO LATA 18L;5202327;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85795;CR CORALAR ACRILICO MAIS DESEMPENHO LA MARACATU GL 3,6L;5202296;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85796;CR CORALAR ACRILICO MAIS DESEMPENHO LA MARACATU LATA 18L;5202297;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85785;CR CORALAR ACRILICO MAIS DESEMPENHO LUA SERTAO GL 3,6L;5202286;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85786;CR CORALAR ACRILICO MAIS DESEMPENHO LUA SERTAO LATA 18L;5202287;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85819;CR CORALAR ACRILICO MAIS DESEMPENHO MARFIM GL 3,6L;5202332;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85820;CR CORALAR ACRILICO MAIS DESEMPENHO MARFIM LATA 18L;5202333;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85789;CR CORALAR ACRILICO MAIS DESEMPENHO OCEANO GL 3,6L;5202290;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85790;CR CORALAR ACRILICO MAIS DESEMPENHO OCEANO LATA 18L;5202291;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85824;CR CORALAR ACRILICO MAIS DESEMPENHO PALHA GL 3,6L;5202338;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85825;CR CORALAR ACRILICO MAIS DESEMPENHO PALHA LATA 18L;5202339;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85791;CR CORALAR ACRILICO MAIS DESEMPENHO PAVAO GL 3,6L;5202292;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85792;CR CORALAR ACRILICO MAIS DESEMPENHO PAVAO LATA 18L;5202293;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85783;CR CORALAR ACRILICO MAIS DESEMPENHO PEROLA GL 3,6L;5202282;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85784;CR CORALAR ACRILICO MAIS DESEMPENHO PEROLA LATA 18L;5202283;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85815;CR CORALAR ACRILICO MAIS DESEMPENHO PESSEGO GL 3,6L;5202328;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85816;CR CORALAR ACRILICO MAIS DESEMPENHO PESSEGO LATA 18L;5202329;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85802;CR CORALAR ACRILICO MAIS DESEMPENHO REFRESCO GL 3,6L;5202314;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85793;CR CORALAR ACRILICO MAIS DESEMPENHO RUBI GL 3,6L;5202294;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85794;CR CORALAR ACRILICO MAIS DESEMPENHO RUBI LATA 18L;5202295;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85807;CR CORALAR ACRILICO MAIS DESEMPENHO VERDE KIWI GL 3,6L;5202320;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85808;CR CORALAR ACRILICO MAIS DESEMPENHO VERDE KIWI LATA 18L;5202321;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85803;CR CORALAR ACRILICO MAIS DESEMPENHO VERDE LIMAO GL 3,6L;5202316;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85804;CR CORALAR ACRILICO MAIS DESEMPENHO VERDE LIMAO LATA 18L;5202317;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85811;CR CORALAR ACRILICO MAIS DESEMPENHO VERDE PISCINA GL 3,6L;5202324;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85812;CR CORALAR ACRILICO MAIS DESEMPENHO VERDE PISCINA LATA 18L;5202325;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85805;CR CORALAR ACRILICO MAIS DESEMPENHO VERDE TIMBALADA GL 3,6L;5202318;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85806;CR CORALAR ACRILICO MAIS DESEMPENHO VERDE TIMBALADA LATA 18L;5202319;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85809;CR CORALAR ACRILICO MAIS DESEMPENHO VERDE VALE GL 3,6L;5202322;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85810;CR CORALAR ACRILICO MAIS DESEMPENHO VERDE VALE LATA 18L;5202323;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86171;CR CORALAR ACRILICO MAIS RESISTENTE AMARELO FREVO GL 3,6L;5207301;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86169;CR CORALAR ACRILICO MAIS RESISTENTE AMARELO FREVO LATA 18L;5207258;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
